Date,Vaping,Quit Valorant,Walk,Wake Up Early,No Pot,No Energy Drink,Coding,Shower,University,Gym,
2025-04-18,0,2,2,3,2,2,2,2,2,2,
2025-04-17,0,2,2,3,2,2,2,2,2,2,
2025-04-16,0,2,2,2,2,3,2,2,2,2,
2025-04-15,0,2,2,2,2,2,2,2,2,2,
2025-04-14,0,2,2,3,2,2,2,2,2,2,
2025-04-13,0,2,2,3,2,2,2,3,3,3,
2025-04-12,0,2,2,3,2,2,2,2,3,2,
2025-04-11,0,2,2,2,2,2,2,2,2,2,
2025-04-10,0,2,2,2,2,2,2,2,2,2,
2025-04-09,0,2,2,2,2,2,2,2,2,2,
2025-04-08,0,2,2,2,2,2,2,2,2,2,
2025-04-07,0,2,2,2,2,2,2,2,2,2,
2025-04-06,0,2,2,2,2,2,2,2,2,2,
2025-04-05,0,2,2,3,2,2,2,3,2,2,
2025-04-04,0,2,3,2,2,2,2,2,2,3,
2025-04-03,0,2,2,2,2,2,2,2,2,2,
2025-04-02,0,2,2,2,2,2,2,2,2,2,
2025-04-01,0,2,2,2,2,2,2,2,2,2,
2025-03-31,0,2,3,2,2,2,2,2,2,3,
2025-03-30,0,2,2,2,2,2,2,2,2,2,
2025-03-29,0,2,2,2,2,2,3,2,3,-1,
2025-03-28,0,2,3,3,2,2,2,2,2,-1,
2025-03-27,0,2,2,2,2,2,2,2,2,-1,
2025-03-26,0,2,3,2,2,2,2,3,3,-1,
2025-03-25,0,2,2,2,2,2,2,2,2,-1,
2025-03-24,0,2,2,2,2,3,2,3,2,-1,
2025-03-23,0,2,3,3,2,3,3,2,2,-1,
2025-03-22,0,2,3,3,2,2,3,2,3,-1,
2025-03-21,0,2,2,2,2,2,2,2,2,-1,
2025-03-20,0,2,2,2,2,2,2,2,2,-1,
2025-03-19,0,2,2,2,2,2,2,2,2,-1,
2025-03-18,0,2,2,2,2,2,2,3,2,-1,
2025-03-17,0,2,2,2,2,2,2,2,2,-1,
2025-03-16,0,2,2,2,2,2,3,2,-1,-1,
2025-03-15,0,2,2,2,2,3,3,3,-1,-1,
2025-03-14,0,2,2,2,2,2,2,2,-1,-1,
2025-03-13,0,2,2,2,2,2,2,2,-1,-1,
2025-03-12,0,2,2,2,2,2,2,2,0,-1,
2025-03-11,0,2,2,2,2,2,2,2,0,-1,
2025-03-10,0,2,2,2,2,2,2,2,2,-1,
2025-03-09,0,2,2,2,2,2,2,2,-1,-1,
2025-03-08,0,2,2,2,2,2,2,2,2,-1,
2025-03-07,0,2,2,2,2,2,2,2,-1,-1,
2025-03-06,63000,2,2,2,2,-1,-1,2,-1,-1,
2025-03-05,84000,2,2,2,-1,-1,-1,-1,2,-1,
2025-03-04,85000,2,2,2,-1,-1,-1,-1,-1,-1,
2025-03-03,77000,2,2,2,-1,-1,-1,-1,-1,-1,
2025-03-02,90000,2,-1,-1,-1,-1,-1,-1,-1,-1,
2025-03-01,100000,2,2,-1,-1,-1,-1,-1,-1,-1,
2025-02-28,100000,2,-1,-1,-1,-1,-1,-1,-1,-1,
2025-02-27,100000,2,-1,-1,-1,-1,-1,-1,-1,-1,
2025-02-26,100000,2,-1,-1,-1,-1,-1,-1,-1,-1,
2025-02-25,100000,2,-1,2,-1,-1,-1,-1,-1,-1,
2025-02-24,100000,2,2,2,-1,-1,-1,-1,-1,-1,
2025-02-23,100000,2,-1,0,0,-1,-1,-1,-1,-1,
2025-02-22,100000,2,2,2,0,-1,-1,-1,-1,-1,
2025-02-21,100000,2,2,2,0,-1,-1,-1,-1,-1,
2025-02-20,100000,2,2,-1,0,-1,-1,-1,-1,-1,
2025-02-19,100000,2,2,2,0,-1,-1,-1,-1,-1,
2025-02-18,100000,2,2,2,-1,-1,-1,-1,-1,-1,
2025-02-17,100000,2,-1,2,-1,-1,-1,-1,-1,-1,
2025-02-16,110000,2,2,2,0,-1,-1,-1,-1,-1,
2025-02-15,100000,2,2,2,0,-1,-1,-1,-1,-1,
2025-02-14,100000,2,2,2,0,-1,-1,-1,-1,-1,
2025-02-13,-1,2,2,2,-1,-1,-1,-1,-1,-1,
2025-02-12,-1,2,2,2,-1,-1,-1,-1,-1,-1,
2025-02-11,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,
2025-02-10,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,
